,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7159,Enya,A Day Without Rain,Only Time,6FLwmdmW77N1Pxb1aWsZmO,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,audio_features,6FLwmdmW77N1Pxb1aWsZmO,spotify:track:6FLwmdmW77N1Pxb1aWsZmO,https://api.spotify.com/v1/tracks/6FLwmdmW77N1Pxb1aWsZmO,https://api.spotify.com/v1/audio-analysis/6FLwmdmW77N1Pxb1aWsZmO,218547,4
7160,Eros Ramazzotti,Eros,Se bastasse una canzone,7dp45uA0Ws4TadWaMwdIRw,0.489,0.56,0,-7.386,1,0.0291,0.206,3.19e-06,0.193,0.238,172.186,audio_features,7dp45uA0Ws4TadWaMwdIRw,spotify:track:7dp45uA0Ws4TadWaMwdIRw,https://api.spotify.com/v1/tracks/7dp45uA0Ws4TadWaMwdIRw,https://api.spotify.com/v1/audio-analysis/7dp45uA0Ws4TadWaMwdIRw,323867,3
7161,Eurythmics,Be Yourself Tonight,Would I Lie to You? - Remastered Version,1lJZSsMoWEbrgaY6CxPMf8,0.613,0.912,2,-4.638,1,0.0328,0.0378,3.65e-05,0.52,0.733,131.968,audio_features,1lJZSsMoWEbrgaY6CxPMf8,spotify:track:1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/tracks/1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/audio-analysis/1lJZSsMoWEbrgaY6CxPMf8,268240,4
7162,Everything But The Girl,The Platinum Collection,Each And Everyone - Remastered version,2Cv1iGIfGIahmX8VR55Y04,0.279,0.611,8,-8.916,0,0.0438,0.638,0,0.0918,0.534,145.065,audio_features,2Cv1iGIfGIahmX8VR55Y04,spotify:track:2Cv1iGIfGIahmX8VR55Y04,https://api.spotify.com/v1/tracks/2Cv1iGIfGIahmX8VR55Y04,https://api.spotify.com/v1/audio-analysis/2Cv1iGIfGIahmX8VR55Y04,164493,4
7163,Various Artists,100 Best Rock and Roll Music Hits from 50s & 60s (Remastered),I'm Walking,5kFbma7F9lLAkhRjX8z56f,0.553,0.899,2,-6.184,1,0.0536,0.549,0.0125,0.138,0.97,114.664,audio_features,5kFbma7F9lLAkhRjX8z56f,spotify:track:5kFbma7F9lLAkhRjX8z56f,https://api.spotify.com/v1/tracks/5kFbma7F9lLAkhRjX8z56f,https://api.spotify.com/v1/audio-analysis/5kFbma7F9lLAkhRjX8z56f,122373,4
7164,Fischer-Z,Going Deaf For A Living,So Long,3XAiXl3dKpG7b0qcrCtBD4,0.556,0.384,0,-14.98,1,0.0407,0.00697,0.000926,0.0545,0.891,126.841,audio_features,3XAiXl3dKpG7b0qcrCtBD4,spotify:track:3XAiXl3dKpG7b0qcrCtBD4,https://api.spotify.com/v1/tracks/3XAiXl3dKpG7b0qcrCtBD4,https://api.spotify.com/v1/audio-analysis/3XAiXl3dKpG7b0qcrCtBD4,302733,4
7165,Fish,Vigil In A Wilderness Of Mirrors,A Gentleman's Excuse Me,4iP8ucwdavRZLeimIcwuGS,0.331,0.174,5,-14.439,1,0.0352,0.863,0.000136,0.318,0.19,125.87,audio_features,4iP8ucwdavRZLeimIcwuGS,spotify:track:4iP8ucwdavRZLeimIcwuGS,https://api.spotify.com/v1/tracks/4iP8ucwdavRZLeimIcwuGS,https://api.spotify.com/v1/audio-analysis/4iP8ucwdavRZLeimIcwuGS,259467,4
7166,Fleetwood Mac,Rumours,You Make Loving Fun - 2004 Remaster,28H3wOEKsaEa8NBEYCLl4j,0.625,0.591,7,-9.127,0,0.0265,0.0138,0.0399,0.0893,0.863,126.597,audio_features,28H3wOEKsaEa8NBEYCLl4j,spotify:track:28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/tracks/28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/audio-analysis/28H3wOEKsaEa8NBEYCLl4j,213693,4
7167,Fontella Bass,The New Look,Rescue Me,1GY8zOFi8rC39xXnD0tKO8,0.678,0.544,4,-9.468,0,0.0326,0.668,9.62e-06,0.103,0.963,122.735,audio_features,1GY8zOFi8rC39xXnD0tKO8,spotify:track:1GY8zOFi8rC39xXnD0tKO8,https://api.spotify.com/v1/tracks/1GY8zOFi8rC39xXnD0tKO8,https://api.spotify.com/v1/audio-analysis/1GY8zOFi8rC39xXnD0tKO8,171027,4
7168,Foreigner,Inside Information,Say You Will,5nW7RbN0mBLPts9CURNwdy,0.72,0.72,3,-7.383,0,0.0264,0.195,0,0.0448,0.636,126.041,audio_features,5nW7RbN0mBLPts9CURNwdy,spotify:track:5nW7RbN0mBLPts9CURNwdy,https://api.spotify.com/v1/tracks/5nW7RbN0mBLPts9CURNwdy,https://api.spotify.com/v1/audio-analysis/5nW7RbN0mBLPts9CURNwdy,255653,4
7169,Foreigner,Inside Information,I Don't Want to Live Without You,19aYH2zhbnTNx4plfenrIk,0.431,0.522,11,-8.625,1,0.0295,0.436,1.91e-05,0.109,0.233,199.786,audio_features,19aYH2zhbnTNx4plfenrIk,spotify:track:19aYH2zhbnTNx4plfenrIk,https://api.spotify.com/v1/tracks/19aYH2zhbnTNx4plfenrIk,https://api.spotify.com/v1/audio-analysis/19aYH2zhbnTNx4plfenrIk,237693,4
7170,Four Tops,Four Tops,Baby I Need Your Loving,3aCbwWCYCT3MJjZeUnlcp4,0.632,0.686,0,-6.116,0,0.0395,0.437,0,0.193,0.65,121.414,audio_features,3aCbwWCYCT3MJjZeUnlcp4,spotify:track:3aCbwWCYCT3MJjZeUnlcp4,https://api.spotify.com/v1/tracks/3aCbwWCYCT3MJjZeUnlcp4,https://api.spotify.com/v1/audio-analysis/3aCbwWCYCT3MJjZeUnlcp4,166027,4
7171,Four Tops,Four Tops Second Album,"I Can't Help Myself (Sugar Pie, Honey Bunch)",6b6IMqP565TbtFFZg9iFf3,0.667,0.599,0,-8.894,1,0.0291,0.245,0,0.107,0.971,127.935,audio_features,6b6IMqP565TbtFFZg9iFf3,spotify:track:6b6IMqP565TbtFFZg9iFf3,https://api.spotify.com/v1/tracks/6b6IMqP565TbtFFZg9iFf3,https://api.spotify.com/v1/audio-analysis/6b6IMqP565TbtFFZg9iFf3,160280,4
7172,Frankie Goes To Hollywood,Welcome To The Pleasuredome,The Power Of Love,1GbyYL0B0Mjn3kSbrEwKKI,0.46,0.162,5,-17.142,0,0.0335,0.376,1.25e-05,0.181,0.102,122.767,audio_features,1GbyYL0B0Mjn3kSbrEwKKI,spotify:track:1GbyYL0B0Mjn3kSbrEwKKI,https://api.spotify.com/v1/tracks/1GbyYL0B0Mjn3kSbrEwKKI,https://api.spotify.com/v1/audio-analysis/1GbyYL0B0Mjn3kSbrEwKKI,332507,4
7173,Frank Sinatra,My Way (Expanded Edition),My Way,3spdoTYpuCpmq19tuD0bOe,0.401,0.381,2,-7.458,1,0.0274,0.7,0,0.122,0.229,75.454,audio_features,3spdoTYpuCpmq19tuD0bOe,spotify:track:3spdoTYpuCpmq19tuD0bOe,https://api.spotify.com/v1/tracks/3spdoTYpuCpmq19tuD0bOe,https://api.spotify.com/v1/audio-analysis/3spdoTYpuCpmq19tuD0bOe,276800,4
7174,Freddie Mercury,Mr Bad Guy (Special Edition),Living On My Own - Special Edition,1RVn5HnFkveCHiFeWTMfYp,0.737,0.663,9,-7.51,0,0.0291,0.023,2.52e-05,0.161,0.78,133.092,audio_features,1RVn5HnFkveCHiFeWTMfYp,spotify:track:1RVn5HnFkveCHiFeWTMfYp,https://api.spotify.com/v1/tracks/1RVn5HnFkveCHiFeWTMfYp,https://api.spotify.com/v1/audio-analysis/1RVn5HnFkveCHiFeWTMfYp,203747,4
7175,Fun Fun,Color My Love,Color My Love,7F1FamJw5Vy5cAYzkDAtJx,0.685,0.655,5,-11.046,1,0.0499,0.0167,0.363,0.07,0.816,122.003,audio_features,7F1FamJw5Vy5cAYzkDAtJx,spotify:track:7F1FamJw5Vy5cAYzkDAtJx,https://api.spotify.com/v1/tracks/7F1FamJw5Vy5cAYzkDAtJx,https://api.spotify.com/v1/audio-analysis/7F1FamJw5Vy5cAYzkDAtJx,246107,4
7176,Gabriella Cilmi,Lessons To Be Learned,Sweet About Me,5wznxkB792LjSRdbZ1J1zo,0.671,0.701,6,-5.035,1,0.0288,0.0607,2.7e-06,0.163,0.585,131.977,audio_features,5wznxkB792LjSRdbZ1J1zo,spotify:track:5wznxkB792LjSRdbZ1J1zo,https://api.spotify.com/v1/tracks/5wznxkB792LjSRdbZ1J1zo,https://api.spotify.com/v1/audio-analysis/5wznxkB792LjSRdbZ1J1zo,202133,4
7177,Gabrielle,Rise,Rise,63nkNgHkmfgjElTEnCzKYU,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,audio_features,63nkNgHkmfgjElTEnCzKYU,spotify:track:63nkNgHkmfgjElTEnCzKYU,https://api.spotify.com/v1/tracks/63nkNgHkmfgjElTEnCzKYU,https://api.spotify.com/v1/audio-analysis/63nkNgHkmfgjElTEnCzKYU,219093,4
7178,Gabrielle,Rise,Out Of Reach,0HKD13PLq2WicViBBhSrOl,0.51,0.48,11,-6.567,1,0.0452,0.503,0,0.106,0.496,182.862,audio_features,0HKD13PLq2WicViBBhSrOl,spotify:track:0HKD13PLq2WicViBBhSrOl,https://api.spotify.com/v1/tracks/0HKD13PLq2WicViBBhSrOl,https://api.spotify.com/v1/audio-analysis/0HKD13PLq2WicViBBhSrOl,196987,4
7179,Gary Jules,Trading Snakeoil for Wolftickets,Mad World,3JOVTQ5h8HGFnDdp4VT3MP,0.344,0.0585,3,-17.212,1,0.0373,0.976,0.000362,0.103,0.323,174.149,audio_features,3JOVTQ5h8HGFnDdp4VT3MP,spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,https://api.spotify.com/v1/tracks/3JOVTQ5h8HGFnDdp4VT3MP,https://api.spotify.com/v1/audio-analysis/3JOVTQ5h8HGFnDdp4VT3MP,189507,4
7180,Gary Moore,Still Got The Blues,Oh Pretty Woman,7LpcB50dBOGO3Ph6zlJyyH,0.308,0.541,0,-11.815,0,0.0607,0.2,0.000728,0.313,0.693,206.617,audio_features,7LpcB50dBOGO3Ph6zlJyyH,spotify:track:7LpcB50dBOGO3Ph6zlJyyH,https://api.spotify.com/v1/tracks/7LpcB50dBOGO3Ph6zlJyyH,https://api.spotify.com/v1/audio-analysis/7LpcB50dBOGO3Ph6zlJyyH,265027,4
7181,Gavin DeGraw,Chariot - Stripped,Follow Through,6jSoDFoUl903MNFhS4FuZx,0.37,0.772,0,-6.148,1,0.0536,0.000575,0,0.0745,0.375,174.775,audio_features,6jSoDFoUl903MNFhS4FuZx,spotify:track:6jSoDFoUl903MNFhS4FuZx,https://api.spotify.com/v1/tracks/6jSoDFoUl903MNFhS4FuZx,https://api.spotify.com/v1/audio-analysis/6jSoDFoUl903MNFhS4FuZx,239747,4
7182,Gavin DeGraw,Sweeter,Not Over You,6j7hih15xG2cdYwIJnQXsq,0.63,0.894,10,-4.592,1,0.0544,0.255,0,0.181,0.364,142.051,audio_features,6j7hih15xG2cdYwIJnQXsq,spotify:track:6j7hih15xG2cdYwIJnQXsq,https://api.spotify.com/v1/tracks/6j7hih15xG2cdYwIJnQXsq,https://api.spotify.com/v1/audio-analysis/6j7hih15xG2cdYwIJnQXsq,218520,4
7183,Gazebo,Portrait,I Like Chopin,2FHnN5ELL83TGbtXMDzoiJ,0.779,0.635,2,-8.028,0,0.0282,0.577,0.000258,0.215,0.53,108.018,audio_features,2FHnN5ELL83TGbtXMDzoiJ,spotify:track:2FHnN5ELL83TGbtXMDzoiJ,https://api.spotify.com/v1/tracks/2FHnN5ELL83TGbtXMDzoiJ,https://api.spotify.com/v1/audio-analysis/2FHnN5ELL83TGbtXMDzoiJ,291720,4
7184,Genesis,The Platinum Collection,Hold On My Heart,1w1gPryZkguMGep2ErLTh9,0.458,0.442,5,-9.752,0,0.0286,0.562,0.00838,0.0732,0.297,171.947,audio_features,1w1gPryZkguMGep2ErLTh9,spotify:track:1w1gPryZkguMGep2ErLTh9,https://api.spotify.com/v1/tracks/1w1gPryZkguMGep2ErLTh9,https://api.spotify.com/v1/audio-analysis/1w1gPryZkguMGep2ErLTh9,277707,4
7185,George Michael,Ladies & Gentlemen,Killer / Papa Was a Rollin' Stone,3EMwCbvaeyWVZb3ae0roHt,0.714,0.976,10,-7.349,0,0.0548,0.0284,0.00695,0.756,0.577,121.89,audio_features,3EMwCbvaeyWVZb3ae0roHt,spotify:track:3EMwCbvaeyWVZb3ae0roHt,https://api.spotify.com/v1/tracks/3EMwCbvaeyWVZb3ae0roHt,https://api.spotify.com/v1/audio-analysis/3EMwCbvaeyWVZb3ae0roHt,255373,4
7186,Gilbert O'Sullivan,Back to Front (Deluxe Edition),Alone Again (Naturally),4lHQCzdK3VdYQvQZnnRouG,0.558,0.464,8,-8.488,0,0.0354,0.583,0.000133,0.159,0.558,171.762,audio_features,4lHQCzdK3VdYQvQZnnRouG,spotify:track:4lHQCzdK3VdYQvQZnnRouG,https://api.spotify.com/v1/tracks/4lHQCzdK3VdYQvQZnnRouG,https://api.spotify.com/v1/audio-analysis/4lHQCzdK3VdYQvQZnnRouG,217729,4
7187,Gino Vannelli,Powerful People,People Gotta Move,08WJ9t3SXF2aE2tkMwSqQW,0.738,0.611,5,-14.109,0,0.0443,0.225,0.01,0.0536,0.716,117.008,audio_features,08WJ9t3SXF2aE2tkMwSqQW,spotify:track:08WJ9t3SXF2aE2tkMwSqQW,https://api.spotify.com/v1/tracks/08WJ9t3SXF2aE2tkMwSqQW,https://api.spotify.com/v1/audio-analysis/08WJ9t3SXF2aE2tkMwSqQW,201333,4
7188,Glenn Frey,Above The Clouds - The Collection (Deluxe),You Belong To The City,0b8eSsBka9epA2J0wnPMax,0.669,0.703,4,-5.789,0,0.0299,0.06,0.00147,0.0623,0.436,109.48,audio_features,0b8eSsBka9epA2J0wnPMax,spotify:track:0b8eSsBka9epA2J0wnPMax,https://api.spotify.com/v1/tracks/0b8eSsBka9epA2J0wnPMax,https://api.spotify.com/v1/audio-analysis/0b8eSsBka9epA2J0wnPMax,352760,4
7189,Various Artists,Music For Eighties,Cry,1JU8FsHoeGJimTfFEq3aNW,0.554,0.438,9,-11.983,1,0.0275,0.583,0.214,0.13,0.327,99.091,audio_features,1JU8FsHoeGJimTfFEq3aNW,spotify:track:1JU8FsHoeGJimTfFEq3aNW,https://api.spotify.com/v1/tracks/1JU8FsHoeGJimTfFEq3aNW,https://api.spotify.com/v1/audio-analysis/1JU8FsHoeGJimTfFEq3aNW,234827,4
7190,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Iris,6vrUTGn5p8IrfTZ0J6sIVM,0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,audio_features,6vrUTGn5p8IrfTZ0J6sIVM,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/tracks/6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/audio-analysis/6vrUTGn5p8IrfTZ0J6sIVM,289907,3
7191,Gordon Lightfoot,Gord's Gold,If You Could Read My Mind,0fjYN9BylnRXMA3or3QSld,0.603,0.252,2,-12.402,1,0.0337,0.68,6.96e-05,0.147,0.179,122.631,audio_features,0fjYN9BylnRXMA3or3QSld,spotify:track:0fjYN9BylnRXMA3or3QSld,https://api.spotify.com/v1/tracks/0fjYN9BylnRXMA3or3QSld,https://api.spotify.com/v1/audio-analysis/0fjYN9BylnRXMA3or3QSld,229560,4
7192,Gotye,Making Mirrors,Somebody That I Used To Know,6UxSmGD3Ys7BIpbUpSERBM,0.865,0.511,0,-6.983,1,0.0362,0.544,9.92e-05,0.102,0.774,129.057,audio_features,6UxSmGD3Ys7BIpbUpSERBM,spotify:track:6UxSmGD3Ys7BIpbUpSERBM,https://api.spotify.com/v1/tracks/6UxSmGD3Ys7BIpbUpSERBM,https://api.spotify.com/v1/audio-analysis/6UxSmGD3Ys7BIpbUpSERBM,245755,4
